grid_position,category,category_display,image_id,commons_file_title,title,author,credit,source_page_url,image_url,original_image_url,license,license_url,changes
row2_col5,bahrain_museum_objects,Bahrain museum objects,commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0033,File:Manama Bahrain National Museum Exterior Vorplatz 06.jpg,Manama Bahrain National Museum Exterior Vorplatz 06,Zairon,Own work,https://commons.wikimedia.org/wiki/File:Manama_Bahrain_National_Museum_Exterior_Vorplatz_06.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Manama_Bahrain_National_Museum_Exterior_Vorplatz_06.jpg/960px-Manama_Bahrain_National_Museum_Exterior_Vorplatz_06.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/e/e4/Manama_Bahrain_National_Museum_Exterior_Vorplatz_06.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row2_col6,bahrain_museum_objects,Bahrain museum objects,commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0002,File:1932 Buick in the Bahrain Museum.jpg,1932 Buick in the Bahrain Museum,Photographer: Mosbatho,Own work,https://commons.wikimedia.org/wiki/File:1932_Buick_in_the_Bahrain_Museum.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/1932_Buick_in_the_Bahrain_Museum.jpg/960px-1932_Buick_in_the_Bahrain_Museum.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/d/d1/1932_Buick_in_the_Bahrain_Museum.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row3_col1,sculptures_statues,Sculptures / statues,commons_iraq_sculptures_statues_statues_in_national_museum_of_iraq_0018,"File:Head of a priest from the Great Temple at Hatra, Iraq. 2nd-3rd century CE. Iraq Museum.jpg","Head of a priest from the Great Temple at Hatra, Iraq. 2nd-3rd century CE. Iraq Museum",Osama Shukir Muhammed Amin FRCP(Glasg),Own work,"https://commons.wikimedia.org/wiki/File:Head_of_a_priest_from_the_Great_Temple_at_Hatra,_Iraq._2nd-3rd_century_CE._Iraq_Museum.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Head_of_a_priest_from_the_Great_Temple_at_Hatra%2C_Iraq._2nd-3rd_century_CE._Iraq_Museum.jpg/960px-Head_of_a_priest_from_the_Great_Temple_at_Hatra%2C_Iraq._2nd-3rd_century_CE._Iraq_Museum.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/e/ed/Head_of_a_priest_from_the_Great_Temple_at_Hatra%2C_Iraq._2nd-3rd_century_CE._Iraq_Museum.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row3_col2,sculptures_statues,Sculptures / statues,commons_iraq_sculptures_statues_statues_in_national_museum_of_iraq_0038,"File:Ivory statuette from Nimrud, Iraq Museum.jpg","Ivory statuette from Nimrud, Iraq Museum",Osama Shukir Muhammed Amin FRCP(Glasg),Own work,"https://commons.wikimedia.org/wiki/File:Ivory_statuette_from_Nimrud,_Iraq_Museum.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Ivory_statuette_from_Nimrud%2C_Iraq_Museum.jpg/960px-Ivory_statuette_from_Nimrud%2C_Iraq_Museum.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/8/8b/Ivory_statuette_from_Nimrud%2C_Iraq_Museum.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row3_col3,sculptures_statues,Sculptures / statues,commons_iraq_sculptures_statues_statues_in_national_museum_of_iraq_0035,File:Hrs KAP 0054.jpg,Hrs KAP 0054,Sgt. 1st Class Kap Kim,http://www.defense.gov/news/newsarticle.aspx?id=48127,https://commons.wikimedia.org/wiki/File:Hrs_KAP_0054.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Hrs_KAP_0054.jpg/960px-Hrs_KAP_0054.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/d/db/Hrs_KAP_0054.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,https://commons.wikimedia.org/wiki/Commons:Public_domain,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row3_col4,sculptures_statues,Sculptures / statues,commons_iraq_sculptures_statues_statues_in_national_museum_of_iraq_0019,"File:Head of a Sumerian male from Khafajah, Diyala Region, Iraq.jpg","Head of a Sumerian male from Khafajah, Diyala Region, Iraq",Osama Shukir Muhammed Amin FRCP(Glasg),Own work,"https://commons.wikimedia.org/wiki/File:Head_of_a_Sumerian_male_from_Khafajah,_Diyala_Region,_Iraq.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Head_of_a_Sumerian_male_from_Khafajah%2C_Diyala_Region%2C_Iraq.jpg/960px-Head_of_a_Sumerian_male_from_Khafajah%2C_Diyala_Region%2C_Iraq.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/c/c8/Head_of_a_Sumerian_male_from_Khafajah%2C_Diyala_Region%2C_Iraq.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row3_col5,sculptures_statues,Sculptures / statues,commons_iraq_sculptures_statues_statues_in_national_museum_of_iraq_0033,"File:Headless statuette of a Sumerian male worshiper from Diyala Region, Iraq.jpg","Headless statuette of a Sumerian male worshiper from Diyala Region, Iraq",Osama Shukir Muhammed Amin FRCP(Glasg),Own work,"https://commons.wikimedia.org/wiki/File:Headless_statuette_of_a_Sumerian_male_worshiper_from_Diyala_Region,_Iraq.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Headless_statuette_of_a_Sumerian_male_worshiper_from_Diyala_Region%2C_Iraq.jpg/960px-Headless_statuette_of_a_Sumerian_male_worshiper_from_Diyala_Region%2C_Iraq.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/a/a0/Headless_statuette_of_a_Sumerian_male_worshiper_from_Diyala_Region%2C_Iraq.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row3_col6,sculptures_statues,Sculptures / statues,commons_iraq_sculptures_statues_statues_in_national_museum_of_iraq_0002,File:A statue of limestone repre.jpg,A statue of limestone repre,Solider 16IQ,Own work,https://commons.wikimedia.org/wiki/File:A_statue_of_limestone_repre.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/A_statue_of_limestone_repre.jpg/960px-A_statue_of_limestone_repre.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/d/d0/A_statue_of_limestone_repre.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row4_col1,manuscript_calligraphy,Manuscripts / calligraphy,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0018,File:Doha Museum of Islamic Arts Interior Exhibition 044.jpg,Doha Museum of Islamic Arts Interior Exhibition 044,Zairon,Own work,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_044.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_044.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_044.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/9/99/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_044.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row4_col2,manuscript_calligraphy,Manuscripts / calligraphy,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0038,File:Doha Museum of Islamic Arts Interior Exhibition 141.jpg,Doha Museum of Islamic Arts Interior Exhibition 141,Zairon,Own work,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_141.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_141.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_141.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/e/e9/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_141.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row4_col3,manuscript_calligraphy,Manuscripts / calligraphy,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0035,File:Doha Museum of Islamic Arts Interior Exhibition 138.jpg,Doha Museum of Islamic Arts Interior Exhibition 138,Zairon,Own work,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_138.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_138.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_138.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/9/92/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_138.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row4_col4,manuscript_calligraphy,Manuscripts / calligraphy,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0019,File:Doha Museum of Islamic Arts Interior Exhibition 045.jpg,Doha Museum of Islamic Arts Interior Exhibition 045,Zairon,Own work,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_045.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_045.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_045.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/7/7a/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_045.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row4_col5,manuscript_calligraphy,Manuscripts / calligraphy,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0033,File:Doha Museum of Islamic Arts Interior Exhibition 136.jpg,Doha Museum of Islamic Arts Interior Exhibition 136,Zairon,Own work,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_136.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_136.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_136.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/4/40/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_136.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row4_col6,manuscript_calligraphy,Manuscripts / calligraphy,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0002,"File:Abu al-hayy, due gru e due anatre, periodo jalayiride, tabriz 1390 ca.jpg","Abu al-hayy, due gru e due anatre, periodo jalayiride, tabriz 1390 ca",Francesco Bini,Own work,"https://commons.wikimedia.org/wiki/File:Abu_al-hayy,_due_gru_e_due_anatre,_periodo_jalayiride,_tabriz_1390_ca.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Abu_al-hayy%2C_due_gru_e_due_anatre%2C_periodo_jalayiride%2C_tabriz_1390_ca.jpg/960px-Abu_al-hayy%2C_due_gru_e_due_anatre%2C_periodo_jalayiride%2C_tabriz_1390_ca.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/f/fa/Abu_al-hayy%2C_due_gru_e_due_anatre%2C_periodo_jalayiride%2C_tabriz_1390_ca.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row5_col1,museum_interior,Museum interior,commons_oman_museum_interior_interior_of_the_national_museum_oman_0003,File:25 APD Oman.jpg,25 APD Oman,Mohammed90m,Own work,https://commons.wikimedia.org/wiki/File:25_APD_Oman.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/25_APD_Oman.jpg/960px-25_APD_Oman.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/1/16/25_APD_Oman.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row5_col2,museum_interior,Museum interior,commons_oman_museum_interior_interior_of_the_national_museum_oman_0018,File:BDFIMG 5169.jpg,BDFIMG 5169,Mohammed90m,Own work,https://commons.wikimedia.org/wiki/File:BDFIMG_5169.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/BDFIMG_5169.jpg/960px-BDFIMG_5169.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/2/24/BDFIMG_5169.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
