image_id,source,country,category,title,page_url,image_url,license,notes,artist,credit,description,commons_file_title,commons_category_used,original_image_url,mime
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0011,Wikimedia Commons,Bahrain,bahrain_museum_objects,Contraposicion,https://commons.wikimedia.org/wiki/File:Contraposicion.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Contraposicion.jpg/960px-Contraposicion.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 2.5,Bahrain National Museum objects and museum images,MarisaLR,Own work,Sculpture of Medina Ayllón at the Bahrain Museum,File:Contraposicion.jpg,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/0/0e/Contraposicion.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0012,Wikimedia Commons,Bahrain,bahrain_museum_objects,Coper head of bull Dilmun1,https://commons.wikimedia.org/wiki/File:Coper_head_of_bull_Dilmun1.jpg,https://upload.wikimedia.org/wikipedia/commons/4/49/Coper_head_of_bull_Dilmun1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY-SA 3.0,Bahrain National Museum objects and museum images,Ciacho5,Own work,"Bull's head, made of copper in early Dilmun period (ca. 2000 BC), discovered by Danisch archeologists under Barbar Temple, Bahrain. Exhibit in Bahrain National Museum.",File:Coper head of bull Dilmun1.jpg,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/4/49/Coper_head_of_bull_Dilmun1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0013,Wikimedia Commons,Bahrain,bahrain_museum_objects,Copper head of bull Dilmun 2,https://commons.wikimedia.org/wiki/File:Copper_head_of_bull_Dilmun_2.JPG,https://upload.wikimedia.org/wikipedia/commons/7/79/Copper_head_of_bull_Dilmun_2.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY-SA 3.0,Bahrain National Museum objects and museum images,Ciacho5,Own work,"Bull's head, made of copper in early Dilmun period (ca. 2000 BC), discovered by Danisch archeologists under Barbar Temple, Bahrain. Exhibit in Bahrain National Museum.",File:Copper head of bull Dilmun 2.JPG,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/7/79/Copper_head_of_bull_Dilmun_2.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0014,Wikimedia Commons,Bahrain,bahrain_museum_objects,Dhow and the Bahrain National Museum,https://commons.wikimedia.org/wiki/File:Dhow_and_the_Bahrain_National_Museum.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Dhow_and_the_Bahrain_National_Museum.jpg/960px-Dhow_and_the_Bahrain_National_Museum.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Bahrain National Museum objects and museum images,Slywire,Own work,A view from the Novotel on Sheikh Hamad Causeway overlooking the Bahrain National Museum.,File:Dhow and the Bahrain National Museum.jpg,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/5/50/Dhow_and_the_Bahrain_National_Museum.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0015,Wikimedia Commons,Bahrain,bahrain_museum_objects,Dilmun pottery A234,https://commons.wikimedia.org/wiki/File:Dilmun_pottery_A234.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Dilmun_pottery_A234.jpg/960px-Dilmun_pottery_A234.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,Bahrain National Museum objects and museum images,Ciacho5,Own work,Early Dilmun pottery (ca. 2300 BC). Exhibits in Bahrain National Museum.,File:Dilmun pottery A234.jpg,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/7/78/Dilmun_pottery_A234.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0016,Wikimedia Commons,Bahrain,bahrain_museum_objects,Double vessel and amphoriskos Tylos period A111,https://commons.wikimedia.org/wiki/File:Double_vessel_and_amphoriskos_Tylos_period_A111.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Double_vessel_and_amphoriskos_Tylos_period_A111.jpg/960px-Double_vessel_and_amphoriskos_Tylos_period_A111.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,Bahrain National Museum objects and museum images,Ciacho5,Own work,Double vessel of alabaster and glass amphoriskos found in grave of wealthy women from Tylos period. Exhibit in Bahrain National Museum,File:Double vessel and amphoriskos Tylos period A111.jpg,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/4/48/Double_vessel_and_amphoriskos_Tylos_period_A111.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0017,Wikimedia Commons,Bahrain,bahrain_museum_objects,Durand Stone,https://commons.wikimedia.org/wiki/File:Durand_Stone.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Durand_Stone.jpg/960px-Durand_Stone.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Bahrain National Museum objects and museum images,Droodkin,Own work,This is a photograph of a replica of the Durand Stone at the Bahrain National Museum. The stone dates back to the Kassite period (1591 BC - 1155 BC) and likely originates from Oman or southeastern Iran. The original Durant Stone was said to be destroyed during World War II.,File:Durand Stone.jpg,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/3/31/Durand_Stone.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0018,Wikimedia Commons,Bahrain,bahrain_museum_objects,"Early burial mound , moved to Bahrain museum","https://commons.wikimedia.org/wiki/File:Early_burial_mound_,_moved_to_Bahrain_museum.JPG",https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Early_burial_mound_%2C_moved_to_Bahrain_museum.JPG/960px-Early_burial_mound_%2C_moved_to_Bahrain_museum.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,Bahrain National Museum objects and museum images,Droodkin,Self-photographed,"An early burial mound, dating to the Dilmun era, moved directly from Hamad Town to the Bahrain National Museum","File:Early burial mound , moved to Bahrain museum.JPG",Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/2/25/Early_burial_mound_%2C_moved_to_Bahrain_museum.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0019,Wikimedia Commons,Bahrain,bahrain_museum_objects,Grave reconstruction from National Museum of Bahrain,https://commons.wikimedia.org/wiki/File:Grave_reconstruction_from_National_Museum_of_Bahrain.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Grave_reconstruction_from_National_Museum_of_Bahrain.jpg/960px-Grave_reconstruction_from_National_Museum_of_Bahrain.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,Bahrain National Museum objects and museum images,Ciacho5,Own work,Grave from Tylos era. Bahrain National Museum.,File:Grave reconstruction from National Museum of Bahrain.jpg,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/6/6b/Grave_reconstruction_from_National_Museum_of_Bahrain.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0020,Wikimedia Commons,Bahrain,bahrain_museum_objects,Hellenic tombstones from Bahrain National Museum,https://commons.wikimedia.org/wiki/File:Hellenic_tombstones_from_Bahrain_National_Museum.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Hellenic_tombstones_from_Bahrain_National_Museum.jpg/960px-Hellenic_tombstones_from_Bahrain_National_Museum.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,Bahrain National Museum objects and museum images,Ciacho5,Own work,Hellenic style gravestones from Tylos era. Bahrain NAtional Museum.,File:Hellenic tombstones from Bahrain National Museum.jpg,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/e/ea/Hellenic_tombstones_from_Bahrain_National_Museum.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0021,Wikimedia Commons,Bahrain,bahrain_museum_objects,Kneeling rams Dilmun,https://commons.wikimedia.org/wiki/File:Kneeling_rams_Dilmun.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Kneeling_rams_Dilmun.JPG/960px-Kneeling_rams_Dilmun.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,Bahrain National Museum objects and museum images,Ciacho5,Own work,Two statues of kneeling rams from early Dilmun period (ca. 2000-1900 BC). Heads were not found. Exhibit in Bahrain National Museum.,File:Kneeling rams Dilmun.JPG,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/d/df/Kneeling_rams_Dilmun.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0022,Wikimedia Commons,Bahrain,bahrain_museum_objects,Manama Bahrain National Museum Exterior 1,https://commons.wikimedia.org/wiki/File:Manama_Bahrain_National_Museum_Exterior_1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Manama_Bahrain_National_Museum_Exterior_1.jpg/960px-Manama_Bahrain_National_Museum_Exterior_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Bahrain National Museum objects and museum images,Zairon,Own work,"Bahrain National Museum, Manama, Bahrain",File:Manama Bahrain National Museum Exterior 1.jpg,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/4/49/Manama_Bahrain_National_Museum_Exterior_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0023,Wikimedia Commons,Bahrain,bahrain_museum_objects,Manama Bahrain National Museum Exterior 2,https://commons.wikimedia.org/wiki/File:Manama_Bahrain_National_Museum_Exterior_2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Manama_Bahrain_National_Museum_Exterior_2.jpg/960px-Manama_Bahrain_National_Museum_Exterior_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Bahrain National Museum objects and museum images,Zairon,Own work,"Bahrain National Museum, Manama, Bahrain",File:Manama Bahrain National Museum Exterior 2.jpg,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/1/1c/Manama_Bahrain_National_Museum_Exterior_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0024,Wikimedia Commons,Bahrain,bahrain_museum_objects,Manama Bahrain National Museum Exterior 3,https://commons.wikimedia.org/wiki/File:Manama_Bahrain_National_Museum_Exterior_3.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Manama_Bahrain_National_Museum_Exterior_3.jpg/960px-Manama_Bahrain_National_Museum_Exterior_3.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Bahrain National Museum objects and museum images,Zairon,Own work,"Bahrain National Museum, Manama, Bahrain",File:Manama Bahrain National Museum Exterior 3.jpg,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/d/dd/Manama_Bahrain_National_Museum_Exterior_3.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0025,Wikimedia Commons,Bahrain,bahrain_museum_objects,Manama Bahrain National Museum Exterior 4,https://commons.wikimedia.org/wiki/File:Manama_Bahrain_National_Museum_Exterior_4.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Manama_Bahrain_National_Museum_Exterior_4.jpg/960px-Manama_Bahrain_National_Museum_Exterior_4.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Bahrain National Museum objects and museum images,Zairon,Own work,"Bahrain National Museum, Manama, Bahrain",File:Manama Bahrain National Museum Exterior 4.jpg,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/f/fb/Manama_Bahrain_National_Museum_Exterior_4.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0026,Wikimedia Commons,Bahrain,bahrain_museum_objects,Manama Bahrain National Museum Exterior 5,https://commons.wikimedia.org/wiki/File:Manama_Bahrain_National_Museum_Exterior_5.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Manama_Bahrain_National_Museum_Exterior_5.jpg/960px-Manama_Bahrain_National_Museum_Exterior_5.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Bahrain National Museum objects and museum images,Zairon,Own work,"Bahrain National Museum, Manama, Bahrain",File:Manama Bahrain National Museum Exterior 5.jpg,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/b/bc/Manama_Bahrain_National_Museum_Exterior_5.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0027,Wikimedia Commons,Bahrain,bahrain_museum_objects,Manama Bahrain National Museum Exterior The Pearl Diver,https://commons.wikimedia.org/wiki/File:Manama_Bahrain_National_Museum_Exterior_The_Pearl_Diver.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Manama_Bahrain_National_Museum_Exterior_The_Pearl_Diver.jpg/960px-Manama_Bahrain_National_Museum_Exterior_The_Pearl_Diver.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Bahrain National Museum objects and museum images,Zairon,Own work,"Pearl Diver of the Bahrain National Museum, Manama, Bahrain",File:Manama Bahrain National Museum Exterior The Pearl Diver.jpg,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/1/14/Manama_Bahrain_National_Museum_Exterior_The_Pearl_Diver.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0028,Wikimedia Commons,Bahrain,bahrain_museum_objects,Manama Bahrain National Museum Exterior Vorplatz 01,https://commons.wikimedia.org/wiki/File:Manama_Bahrain_National_Museum_Exterior_Vorplatz_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Manama_Bahrain_National_Museum_Exterior_Vorplatz_01.jpg/960px-Manama_Bahrain_National_Museum_Exterior_Vorplatz_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Bahrain National Museum objects and museum images,Zairon,Own work,"Forecourt of the Bahrain National Museum, Manama, Bahrain",File:Manama Bahrain National Museum Exterior Vorplatz 01.jpg,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/0/0d/Manama_Bahrain_National_Museum_Exterior_Vorplatz_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0029,Wikimedia Commons,Bahrain,bahrain_museum_objects,Manama Bahrain National Museum Exterior Vorplatz 02,https://commons.wikimedia.org/wiki/File:Manama_Bahrain_National_Museum_Exterior_Vorplatz_02.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Manama_Bahrain_National_Museum_Exterior_Vorplatz_02.jpg/960px-Manama_Bahrain_National_Museum_Exterior_Vorplatz_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Bahrain National Museum objects and museum images,Zairon,Own work,"Forecourt of the Bahrain National Museum, Manama, Bahrain",File:Manama Bahrain National Museum Exterior Vorplatz 02.jpg,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/c/ce/Manama_Bahrain_National_Museum_Exterior_Vorplatz_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0030,Wikimedia Commons,Bahrain,bahrain_museum_objects,Manama Bahrain National Museum Exterior Vorplatz 03,https://commons.wikimedia.org/wiki/File:Manama_Bahrain_National_Museum_Exterior_Vorplatz_03.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Manama_Bahrain_National_Museum_Exterior_Vorplatz_03.jpg/960px-Manama_Bahrain_National_Museum_Exterior_Vorplatz_03.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Bahrain National Museum objects and museum images,Zairon,Own work,"Forecourt of the Bahrain National Museum, Manama, Bahrain",File:Manama Bahrain National Museum Exterior Vorplatz 03.jpg,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/3/33/Manama_Bahrain_National_Museum_Exterior_Vorplatz_03.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
